Id,Text
caftan,caftan    
gray_caftan,Gray caftan   
red_caftan,Red caftan   
the_dress_chainmail,The dress chainmail   
the_dress_chainmail_burgundy,The dress chainmail burgundy  
the_dress_chainmail_blue,The dress chainmail blue  
the_dress_chainmail_yellow,The dress chainmail yellow  
vest_collar_purple,Vest collar purple  
vest_collar_no,Vest collar no  
camisole_flashlights,Camisole flashlights   
camisole_flashlights_dark,Camisole flashlights dark  
lack_of_armor,lack of armor   
lack_of_armor_mulatto,lack of armor mulatto  
the_dress_ladies,The dress ladies   
the_dress_ladies_mulatto,The dress ladies mulatto  
peasant_woman,peasant woman    
peasant_woman_stocking,peasant woman  stocking  
inn_the_dress,inn the dress   
inn_the_dress_black_buttons,inn the dress black buttons 
inn_blue_fairy,inn blue fairy  
camisole_white,Camisole white   
camisole_bright_gold,Camisole bright gold  
robin_green,Robin green   
robin_vinous,Robin vinous   
the_dress_wings_zel,The dress  wings zel 
the_dress_wings_red,The dress  wings red 
gentleman_shoulders,gentleman  shoulders  
gentleman_shoulders_green,gentleman  shoulders green 
gentleman_shoulders_red,gentleman  shoulders red 
gentleman_shoulders_the_black,gentleman  shoulders the black 
lady_white,Lady white   
lady_black,Lady black   
lady_green,Lady green   
lady_red,Lady red   
shirt_pretty_fat,Shirt pretty fat  
shirt_pretty_fat_white,Shirt pretty fat white 
denim_the_dress,denim the dress   
denim_the_dress_brown,denim the dress brown  
denim_the_dress_green,denim the dress green  
rich_elf_woman,Rich elf woman  
kind_elf_woman,kind elf woman  
dinosaur_transformer,Dinosaur transformer   
dinosaur_transformer_grass,Dinosaur transformer grass  
blue_dancing,Blue dancing   
secret_pajamas_glory,Secret pajamas glory  
white_underwear,white underwear   
white_underwear_mulatto,white underwear mulatto  
underpants,Underpants    
underpants_african_american,Underpants African American   
zombie_aristocrat,Zombie aristocrat   
zombie_tattoo,Zombie  tattoo  
zombie_shorts,Zombie shorts   
razorback_grabitelka,razorback grabitelka   
the_man_the_beast_manicure,The man the beast manicure  
pink_light_coloured,Pink light coloured   
duck,duck    
crocodile_recliner,Crocodile recliner   
robber_bathes,Robber bathes   
lumberjack_sailor,lumberjack sailor   
big_blue,Big blue   
red_big_player,Red big player  
the_black_evil_a_rock,The black evil a rock  
catcher_ghosts_reflective,Catcher ghosts reflective  
ninja_smooth,Ninja smooth   
iron_strip,Iron  strip  
queen_warriors,Queen warriors   
angel_warriors,Angel warriors   
strict_strip,Strict  strip  
strict_strip_yellow,Strict  strip yellow 
holiday_skirt_ruches,Holiday skirt ruches  
festive_skirt_2319,Festive skirt 2319  
dining_skirt_resort,Dining skirt resort  
green_cheap,Green cheap   
blue_skirt_suit,Blue skirt suit  
red_suit_celebration,red suit celebration  
pumpkin,Pumpkin    
watermelon_women,Watermelon women   
watermelon_women_conversely,Watermelon women conversely  
a_party,A party    
red_dinner_tiffany,Red dinner  Tiffany 
blue_dinner_tiffany,Blue dinner  Tiffany 
pink_dinner_tiffany,Pink dinner  Tiffany 
the_dress_granny,The dress granny   
gentle_island_grass,gentle island grass  
gold_rich_queen,Gold rich queen  
flush_red,flush red   
flush_green,flush green   
flush_white,flush white   
respected_warrior,Respected warrior   
respected_king,Respected king   
suspender_topeka,Suspender  Topeka  
iron_suit_smooth,Iron suit smooth  
red_handkerchief,Red handkerchief   
green_handkerchief,Green handkerchief   
the_black_handkerchief_wealth,The black handkerchief wealth  
winged_king_gold,Winged king gold  
zombie_mud_kurtets,Zombie mud kurtets  
has_broken_striped,Has broken striped   
skeleton_not_real,Skeleton not real   
the_man_boss_red,The man boss red  
woman_boss_highly_red,Woman boss highly red 
philip,Philip    
black_apparel_fully,Black apparel fully  
teacher_mages,Teacher mages   
the_black_fully_boring,The black fully boring  
penguin_the_black,Penguin the black   
penguin_pink,Penguin pink   
penguin_blue,Penguin blue   
penguin_green,Penguin green   
mister_biscuit,Mister biscuit   
biscuit_mister_lay,Biscuit Mister lay  
grandfather_frost,Grandfather frost   
snowman,Snowman    
pink_snowman,Pink snowman   
deer_without_horns,Deer  without horns 
the_black_deer_without_horns,The black deer  without horns
boratik,Boratik    
grandmother_frost,Grandmother Frost   
elf_frost,Elf Frost   
elf_frost,Elf Frost   
sunset_dawn_the_dress,Sunset dawn the dress  
gusar,Gusar    
gusar_black,Gusar black   
hussar_strips,hussar strips   
herringbone,herringbone    
granny_stylishly_youth,Granny stylishly youth  
skeleton_present,Skeleton present   
boratik_zombie,Boratik zombie   
masked,Masked    
tummy,Tummy    
plant,Plant    
green_big,Green big   
inconspicuous,inconspicuous    
inconspicuous_warrior,inconspicuous warrior   
isle,Isle
armed_with,Armed with
