Id,Text
10001,Кафтан
10002,Серый кафтан
10003,Красный кафтан
10004,Платье кольчуги
10005,Платье кольчуги бордовое
10006,Платье кольчуги синее
10007,Платье кольчуги желтое
10008,Жилет воротник фиолетовое
10009,Жилет воротник никакое
10010,Камзол фонарики
10011,Камзол фонарики темный
10012,Отсутствие доспехов
10013,Отсутствие доспехов мулатка
10014,Платье дамы
10015,Платье дамы мулатка
10016,Крестьянка
10017,Крестьянка в чулке
10018,Трактир платье
10019,Трактир платье черные пуговицы
10020,Трактир голубая фея
10021,Камзол белое
10022,Камзол яркое золото
10023,Робин зеленое
10024,Робин бордовый
10025,Платье с крылышками зел
10026,Платье с крылышками красн
10027,Барин с плечами
10028,Барин с плечами зеленый
10029,Барин с плечами красный
10030,Барин с плечами черный
10031,Барыня белая
10032,Барыня черная
10033,Барыня зеленая
10034,Барыня красная
10035,Рубашка довольно толстый
10036,Рубашка довольно толстый белый
10037,Джинсовая платье
10038,Джинсовая платье коричневое
10039,Джинсовая платье зеленое
10040,Богатый эльф женщина
10041,Добрый эльф женщина
10042,Динозавр трансформер
10043,Динозавр трансформер трава
10044,Синий танцы
10045,Секрет пижама слава
10046,Белое бельё
10047,Белое бельё мулатка
10048,Трусы
10049,Трусы афроамериканец
10050,Зомби аристократ
10051,Зомби с татуировкой
10052,Зомби шорты
10053,Полосатик грабителька
10054,Мужчина зверь маникюр
10055,Розовый светлый
10056,Уточка
10057,Крокодил шезлонг
10058,Грабитель купается
10059,Лесоруб моряк
10060,Большой синий
10061,Красный большой игрок
10062,Чёрный злой камень
10063,Ловец привидений светоотражающий
10064,Ниндзя гладкий
10065,Железный в полоску
10066,Королева воинов
10067,Ангел воинов
10068,Строгий в полоску
10069,Строгий в полоску жёлтый
10070,Праздничная юбка рюшка
10071,Праздничный юбка 2319
10072,Обеденный юбка курорт
10073,Зеленый дешевый
10074,Голубой юбка костюм
10075,Красное костюм праздник
10076,Тыковка
10077,Арбуз женщины
10078,Арбуз женщины наоборот
10079,Вечеринка за 80
10080,Красный ужин у тещи
10081,Голубой ужин у тещи
10082,Розовый ужин у тещи
10083,Платье бабули
10084,Нежные острова трава
10085,Золото богатая королева
10086,Флеш красный
10087,Флеш зеленый
10088,Флеш белый
10089,Уважаемый воин
10090,Уважаемый король
10091,Подтяжки в топике
10092,Железный костюм гладкий
10093,Красный платочек
10094,Зеленый платочек
10095,Черный платочек богатство
10096,Крылатый король золота
10097,Зомби грязевой куртец
10098,Сломался полосатый
10099,Скелет ненастоящий
10100,Мужчина босс красный
10101,Женщина босс очень красная
10102,Филипп
10103,Черное одеяние полностью
10104,Учитель магов
10105,Черный полностью скучный
10106,Пингвин черный
10107,Пингвин розовый
10108,Пингвин голубой
10109,Пингвин зеленый
10110,Мистер печенье
10111,Печенье Мистер лежало
10112,Дедушка мороз
10113,Снеговик
10114,Розовый снеговик
10115,Олень но без рожек
10116,Черный олень но без рожек
10117,Боратик
10118,Бабушка Мороз
10119,Эльф Мороз
10120,Эльфийка Мороз
10121,Закатное рассветное платье
10122,Гусарский
10123,Гусарский черное
10124,Гусарское полоски
10125,Елочка
10126,Бабуля стильно молодежно
10127,Скелет настоящий
10128,Боратик зомби
10129,Маскированный
10130,Животик
10131,Растение
10132,Зеленый большой
10133,Незаметный
10134,Незаметный воин
10135,Остров
10136,Экипированный
